split,date,symbol,side,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
train,2025-12-20,btcusdt,sell,60,463991,1455667125.7327,0.5774842632791697,0.15073352635427764
train,2025-12-20,btcusdt,buy,120,459876,1487330683.5679998,0.46557378885233097,0.40245279670331885
train,2025-12-20,btcusdt,sell,120,463991,1455667125.7327,0.3992799349903514,0.11218005457830044
train,2025-12-20,btcusdt,buy,300,459876,1487330683.5679998,0.5958690456583481,0.4624794356892651
train,2025-12-20,btcusdt,sell,300,463991,1455667125.7327,0.3348556725358882,0.009200644619842487
train,2025-12-21,btcusdt,buy,1,939804,2751694419.1274014,0.07075346427720437,0.023484705831066762
train,2025-12-21,btcusdt,sell,1,935029,2876596289.7356997,-0.1801886238637658,-0.13195637275311514
train,2025-12-21,btcusdt,buy,5,939804,2751694419.1274014,0.028291444617103118,-0.0688789498685985
train,2025-12-21,btcusdt,sell,5,935029,2876596289.7356997,-0.12106527265958852,-0.22216351008517207
train,2025-12-21,btcusdt,buy,10,939804,2751694419.1274014,0.02028625180135743,-0.045241976699096915
train,2025-12-21,btcusdt,sell,10,935029,2876596289.7356997,0.15359700780773736,-0.13991400605847112
train,2025-12-21,btcusdt,buy,30,939804,2751694419.1274014,0.009233218244886961,-0.019577868525485792
train,2025-12-21,btcusdt,sell,30,935029,2876596289.7356997,0.5345296124375654,0.053357377320559334
train,2025-12-21,btcusdt,buy,60,939804,2751694419.1274014,0.3800358172530806,0.3039236222958625
train,2025-12-21,btcusdt,sell,60,935029,2876596289.7356997,0.32565313210163066,-0.10430596424311699
train,2025-12-21,btcusdt,buy,120,939804,2751694419.1274014,0.45756814692659814,0.3356389961650347
train,2025-12-21,btcusdt,sell,120,935029,2876596289.7356997,-0.05991466452395766,-0.2067966492037205
train,2025-12-21,btcusdt,buy,300,939804,2751694419.1274014,1.1186940846788545,0.7887637938922338
train,2025-12-21,btcusdt,sell,300,935029,2876596289.7356997,-0.03144672958895978,-0.43911573678283045
train,2025-12-22,btcusdt,buy,1,2079709,6406260934.671399,-0.19279011524917122,-0.17130228085929242
train,2025-12-22,btcusdt,sell,1,2074420,6304634968.117801,-0.08692550578272398,-0.10867231287185393
train,2025-12-22,btcusdt,buy,5,2079296,6405277072.999299,-0.1850228651065954,-0.20966732288778883
train,2025-12-22,btcusdt,sell,5,2073715,6303306820.4757,-0.10734764181213938,-0.17529769594406905
train,2025-12-22,btcusdt,buy,10,2078775,6403793491.514998,-0.018449480532545078,-0.13493833537628594
train,2025-12-22,btcusdt,sell,10,2072814,6299925129.283601,-0.2794011638004356,-0.3374256634889785
train,2025-12-22,btcusdt,buy,30,2074435,6389074629.689399,0.00016279347105208593,-0.040679781151310504
train,2025-12-22,btcusdt,sell,30,2067443,6278429560.5164,-0.41507995289902394,-0.4864877820048586
