asof_mode,split,date,symbol,side,price_location,rows,share_within_side
same_timestamp_allowed,train,2025-12-08,btcusdt,buy,at_bid,1668,0.0008218339806671932
strictly_previous_bbo,train,2025-12-08,btcusdt,buy,at_bid,1710,0.0008425276420508995
same_timestamp_allowed,train,2025-12-08,btcusdt,buy,below_bid,19333,0.00952548941740938
strictly_previous_bbo,train,2025-12-08,btcusdt,buy,below_bid,19894,0.009801897608748885
same_timestamp_allowed,train,2025-12-08,btcusdt,buy,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-08,btcusdt,buy,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-08,btcusdt,buy,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-08,btcusdt,buy,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-08,btcusdt,sell,above_ask,19883,0.009823102149788598
strictly_previous_bbo,train,2025-12-08,btcusdt,sell,above_ask,20421,0.010088898506303524
same_timestamp_allowed,train,2025-12-08,btcusdt,sell,at_ask,1612,0.0007964009790001116
strictly_previous_bbo,train,2025-12-08,btcusdt,sell,at_ask,1651,0.0008156687446210821
same_timestamp_allowed,train,2025-12-08,btcusdt,sell,inside_spread,5450,0.0026925467342125363
strictly_previous_bbo,train,2025-12-08,btcusdt,sell,inside_spread,5544,0.0027389869898117986
same_timestamp_allowed,train,2025-12-08,btcusdt,sell,at_bid,774646,0.38271019403134027
strictly_previous_bbo,train,2025-12-08,btcusdt,sell,at_bid,767184,0.37902362820919455
same_timestamp_allowed,train,2025-12-08,btcusdt,sell,below_bid,1222515,0.6039777561056585
strictly_previous_bbo,train,2025-12-08,btcusdt,sell,below_bid,1229306,0.6073328175500691
same_timestamp_allowed,train,2025-12-08,btcusdt,sell,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-08,btcusdt,sell,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-08,btcusdt,sell,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-08,btcusdt,sell,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-09,btcusdt,buy,above_ask,1317449,0.5843390193458077
strictly_previous_bbo,train,2025-12-09,btcusdt,buy,above_ask,1324758,0.5875808403896572
same_timestamp_allowed,train,2025-12-09,btcusdt,buy,at_ask,900542,0.3994248196019067
strictly_previous_bbo,train,2025-12-09,btcusdt,buy,at_ask,892228,0.39573724262029975
same_timestamp_allowed,train,2025-12-09,btcusdt,buy,inside_spread,7685,0.003408591424542834
strictly_previous_bbo,train,2025-12-09,btcusdt,buy,inside_spread,7799,0.0034591547846466574
same_timestamp_allowed,train,2025-12-09,btcusdt,buy,at_bid,2275,0.0010090495108438448
strictly_previous_bbo,train,2025-12-09,btcusdt,buy,at_bid,2319,0.0010285651936909346
same_timestamp_allowed,train,2025-12-09,btcusdt,buy,below_bid,26646,0.011818520116898941
strictly_previous_bbo,train,2025-12-09,btcusdt,buy,below_bid,27493,0.012194197011705418
same_timestamp_allowed,train,2025-12-09,btcusdt,buy,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-09,btcusdt,buy,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-09,btcusdt,buy,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-09,btcusdt,buy,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-09,btcusdt,sell,above_ask,28422,0.012774167973432319
