split,symbol,side,venue,window_seconds,signed_liq_bucket,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
validation,btcusdt,buy,binance,300,pos_1e0,30,66428,125431666.28510001,-0.9345811286248674,-1.2015364057999929
validation,btcusdt,sell,binance,300,pos_1e0,30,62202,127058798.0838001,0.16368478463402938,0.4621439250598712
validation,btcusdt,buy,binance,120,pos_1e0,120,65600,122662254.65179996,1.8895432217845354,1.4518763300002824
validation,btcusdt,sell,binance,120,pos_1e0,120,66021,136904416.1883,-1.2344867228090575,-0.010498715167811153
validation,btcusdt,buy,binance,300,pos_1e0,120,66428,125431666.28510001,-1.659097512886298,-3.2980214214951005
validation,btcusdt,sell,binance,300,pos_1e0,120,62202,127058798.0838001,1.3427954995012767,2.8051604070073983
validation,btcusdt,buy,binance,120,pos_1e0,300,65600,122662254.65179996,4.557830943596808,2.6208657192561846
validation,btcusdt,sell,binance,120,pos_1e0,300,66021,136904416.1883,-5.204768379456663,-1.9934611745010267
validation,btcusdt,buy,binance,300,pos_1e0,300,66428,125431666.28510001,-4.363875855342944,-7.369445814787621
validation,btcusdt,sell,binance,300,pos_1e0,300,62202,127058798.0838001,3.10180988291798,5.864933223227697
validation,btcusdt,sell,binance,1,neg_1e1,30,55910,184718393.06319988,10.699156654392105,7.498010456315058
validation,btcusdt,buy,binance,5,neg_1e1,30,50400,118974545.38679993,2.2842296597797676,1.4030829202986828
validation,btcusdt,sell,binance,5,neg_1e1,30,57069,151630838.20710012,0.7883893577473694,0.2703799102845457
validation,btcusdt,buy,binance,10,neg_1e1,30,69709,162346697.83630005,1.746263590899068,1.1740437968362174
validation,btcusdt,sell,binance,10,neg_1e1,30,79227,198524849.3204001,-0.365294889958189,-0.788391241112762
validation,btcusdt,buy,binance,30,neg_1e1,30,97757,226480874.3548,-1.2798259793654194,-0.6897892444936018
validation,btcusdt,sell,binance,30,neg_1e1,30,106692,245207791.6892,1.011308299975459,0.4614866499681804
validation,btcusdt,buy,binance,60,neg_1e1,30,138525,273045879.28500026,-1.9025486122783763,-2.087967772305577
validation,btcusdt,sell,binance,60,neg_1e1,30,131920,278316155.5619999,1.635079380084532,1.1113843194090474
validation,btcusdt,buy,binance,120,neg_1e1,30,132472,241933092.33429983,-0.24380930609657012,0.16379162566367675
validation,btcusdt,sell,binance,120,neg_1e1,30,128601,233480287.0969999,-0.47278186433916936,-0.36107527397549555
validation,btcusdt,buy,binance,300,pos_1e1,30,134665,234743778.34069988,0.9602071366407738,0.9498327919505758
validation,btcusdt,sell,binance,300,pos_1e1,30,152343,277702186.2524,-2.696432787279447,-1.7772431088135174
validation,btcusdt,sell,binance,1,neg_1e1,120,55910,184718393.06319988,10.361392218675764,6.352641116058109
validation,btcusdt,buy,binance,5,neg_1e1,120,50400,118974545.38679993,6.763692857688032,2.49342202662847
validation,btcusdt,sell,binance,5,neg_1e1,120,57069,151630838.20710012,0.18257267529120064,-0.5822237474308692
validation,btcusdt,buy,binance,10,neg_1e1,120,69709,162346697.83630005,2.95647389916018,1.2826183735580132
validation,btcusdt,sell,binance,10,neg_1e1,120,79227,198524849.3204001,-2.0814180746290694,-0.7400031662105795
validation,btcusdt,buy,binance,30,neg_1e1,120,97757,226480874.3548,-2.633060367840405,-3.591083903219529
validation,btcusdt,sell,binance,30,neg_1e1,120,106692,245207791.6892,5.224398655653099,5.389067860583598
